ID,Source,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lat1Places,Lon1,Lon1Places,Lat2,Lat2Places,Lon2,Lon2Places,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,Data,Comment,EditDate,EditUser,RecordCreationDate
209482,,126069,GPS,07-24-2014 21:00:00,,,8.1,,32.613758,,-117.098800,,,,,,,,,,,,,,,,,
209483,,126069,DIAG,07-24-2014 21:16:20,,3,,,32.614000,,-117.104000,,32.614000,,-117.104000,,,,,,,,,,,,,
209809,,126069,DS,07-24-2014 21:16:20,,3,,,32.614000,,-117.104000,,,,,,,,,,,,,,,,,
209484,,126069,DIAG,07-24-2014 22:06:29,,A,,,32.613000,,-117.115000,,32.613000,,-117.115000,,,,,,,,,,,,,
209810,,126069,DS,07-24-2014 22:06:29,,A,,,32.613000,,-117.115000,,,,,,,,,,,,,,,,,
209811,,126069,DS,07-24-2014 22:55:05,,B,,,32.622000,,-117.101000,,,,,,,,,,,,,,,,,
209485,,126069,DIAG,07-24-2014 22:55:05,,B,,,32.622000,,-117.101000,,32.622000,,-117.101000,,,,,,,,,,,,,
209486,,126069,DIAG,07-24-2014 23:45:46,,B,,,32.631000,,-117.109000,,32.631000,,-117.109000,,,,,,,,,,,,,
209812,,126069,DS,07-24-2014 23:45:46,,B,,,32.631000,,-117.109000,,,,,,,,,,,,,,,,,
209487,,126069,DIAG,07-25-2014 3:01:08,,B,,,32.617000,,-117.114000,,32.617000,,-117.114000,,,,,,,,,,,,,
209813,,126069,DS,07-25-2014 3:01:08,,B,,,32.617000,,-117.114000,,,,,,,,,,,,,,,,,
209814,,126069,DS,07-25-2014 3:51:37,,B,,,32.618000,,-117.113000,,,,,,,,,,,,,,,,,
209488,,126069,DIAG,07-25-2014 3:51:37,,B,,,32.618000,,-117.113000,,32.618000,,-117.113000,,,,,,,,,,,,,
209815,,126069,DS,07-25-2014 4:42:53,,B,,,32.633000,,-117.111000,,,,,,,,,,,,,,,,,
209489,,126069,DIAG,07-25-2014 4:42:53,,B,,,32.633000,,-117.111000,,32.633000,,-117.111000,,,,,,,,,,,,,
209490,,126069,GPS,07-25-2014 4:46:43,,,0.1,,32.618515,,-117.117851,,,,,,,,,,,,,,,,,
209491,,126069,DIAG,07-25-2014 5:04:41,,B,,,32.622000,,-117.112000,,32.622000,,-117.112000,,,,,,,,,,,,,
209816,,126069,DS,07-25-2014 5:04:41,,B,,,32.622000,,-117.112000,,,,,,,,,,,,,,,,,
209492,,126069,DIAG,07-25-2014 5:28:03,,2,,,32.620000,,-117.119000,,32.620000,,-117.119000,,,,,,,,,,,,,
209817,,126069,DS,07-25-2014 5:28:03,,2,,,32.620000,,-117.119000,,,,,,,,,,,,,,,,,
209818,,126069,DS,07-25-2014 5:41:06,,A,,,32.621000,,-117.117000,,,,,,,,,,,,,,,,,
209493,,126069,DIAG,07-25-2014 5:41:06,,A,,,32.621000,,-117.117000,,32.621000,,-117.117000,,,,,,,,,,,,,
209494,,126069,DIAG,07-25-2014 6:43:12,,B,,,32.627000,,-117.103000,,32.627000,,-117.103000,,,,,,,,,,,,,
209819,,126069,DS,07-25-2014 6:43:12,,B,,,32.627000,,-117.103000,,,,,,,,,,,,,,,,,
209495,,126069,DIAG,07-25-2014 7:13:10,,A,,,32.623000,,-117.118000,,32.623000,,-117.118000,,,,,,,,,,,,,
209820,,126069,DS,07-25-2014 7:13:10,,A,,,32.623000,,-117.118000,,,,,,,,,,,,,,,,,
209496,,126069,DS,07-25-2014 7:15:40,,3,,,32.626000,,-117.120000,,,,,,,,,,,,,,,,,
209794,,126069,DIAG,07-25-2014 7:15:40,,3,,,32.626000,,-117.120000,,32.626000,,-117.120000,,,,,,,,,,,,,
209497,,126069,DIAG,07-25-2014 8:21:17,,B,,,32.631000,,-117.116000,,32.631000,,-117.116000,,,,,,,,,,,,,
209821,,126069,DS,07-25-2014 8:21:17,,B,,,32.631000,,-117.116000,,,,,,,,,,,,,,,,,
209498,,126069,DIAG,07-25-2014 10:29:36,,B,,,32.637000,,-117.111000,,32.637000,,-117.111000,,,,,,,,,,,,,
209822,,126069,DS,07-25-2014 10:29:36,,B,,,32.637000,,-117.111000,,,,,,,,,,,,,,,,,
209499,,126069,DIAG,07-25-2014 12:03:16,,B,,,32.640000,,-117.108000,,32.640000,,-117.108000,,,,,,,,,,,,,
209823,,126069,DS,07-25-2014 12:03:16,,B,,,32.640000,,-117.108000,,,,,,,,,,,,,,,,,
209500,,126069,GPS,07-25-2014 12:08:12,,,18.7,,32.637359,,-117.121665,,,,,,,,,,,,,,,,,
209501,,126069,DIAG,07-25-2014 12:45:39,,B,,,32.639000,,-117.108000,,32.639000,,-117.108000,,,,,,,,,,,,,
209824,,126069,DS,07-25-2014 12:45:39,,B,,,32.639000,,-117.108000,,,,,,,,,,,,,,,,,
209825,,126069,DS,07-25-2014 14:24:59,,B,,,32.639000,,-117.110000,,,,,,,,,,,,,,,,,
209502,,126069,DIAG,07-25-2014 14:24:59,,B,,,32.639000,,-117.110000,,32.639000,,-117.110000,,,,,,,,,,,,,
209503,,126069,DIAG,07-25-2014 15:18:04,,B,,,32.642000,,-117.105000,,32.642000,,-117.105000,,,,,,,,,,,,,
209826,,126069,DS,07-25-2014 15:18:04,,B,,,32.642000,,-117.105000,,,,,,,,,,,,,,,,,
209827,,126069,DS,07-25-2014 17:00:03,,B,,,32.640000,,-117.117000,,,,,,,,,,,,,,,,,
209829,,126069,DS,07-25-2014 17:00:03,,B,,,32.642000,,-117.113000,,,,,,,,,,,,,,,,,
209828,,126069,DIAG,07-25-2014 17:00:03,,B,,,32.642000,,-117.113000,,32.642000,,-117.113000,,,,,,,,,,,,,
209504,,126069,DIAG,07-25-2014 17:00:03,,B,,,32.640000,,-117.117000,,32.640000,,-117.117000,,,,,,,,,,,,,
209505,,126069,DIAG,07-25-2014 17:19:27,,B,,,32.640000,,-117.111000,,32.640000,,-117.111000,,,,,,,,,,,,,
209830,,126069,DS,07-25-2014 17:19:27,,B,,,32.640000,,-117.111000,,,,,,,,,,,,,,,,,
209506,,126069,DIAG,07-25-2014 19:03:41,,B,,,32.630000,,-117.125000,,32.630000,,-117.125000,,,,,,,,,,,,,
209831,,126069,DS,07-25-2014 19:03:41,,B,,,32.630000,,-117.125000,,,,,,,,,,,,,,,,,
209507,,126069,GPS,07-25-2014 19:12:43,,,3.3,,32.624416,,-117.120262,,,,,,,,,,,,,,,,,
209508,,126069,DIAG,07-25-2014 20:05:49,,B,,,32.633000,,-117.123000,,32.633000,,-117.123000,,,,,,,,,,,,,
209832,,126069,DS,07-25-2014 20:05:49,,B,,,32.633000,,-117.123000,,,,,,,,,,,,,,,,,
209509,,126069,DIAG,07-25-2014 20:41:02,,A,,,32.638000,,-117.116000,,32.638000,,-117.116000,,,,,,,,,,,,,
209833,,126069,DS,07-25-2014 20:41:02,,A,,,32.638000,,-117.116000,,,,,,,,,,,,,,,,,
209510,,126069,DIAG,07-25-2014 20:51:05,,A,,,32.635000,,-117.115000,,32.635000,,-117.115000,,,,,,,,,,,,,
209834,,126069,DS,07-25-2014 20:51:05,,A,,,32.635000,,-117.115000,,,,,,,,,,,,,,,,,
209511,,126069,DIAG,07-25-2014 21:41:12,,2,,,32.641000,,-117.117000,,32.641000,,-117.117000,,,,,,,,,,,,,
209835,,126069,DS,07-25-2014 21:41:12,,2,,,32.641000,,-117.117000,,,,,,,,,,,,,,,,,
209512,,126069,DIAG,07-25-2014 22:33:04,,B,,,32.644000,,-117.116000,,32.644000,,-117.116000,,,,,,,,,,,,,
209836,,126069,DS,07-25-2014 22:33:04,,B,,,32.644000,,-117.116000,,,,,,,,,,,,,,,,,
209837,,126069,DS,07-25-2014 23:22:14,,2,,,32.645000,,-117.117000,,,,,,,,,,,,,,,,,
209513,,126069,DIAG,07-25-2014 23:22:14,,2,,,32.645000,,-117.117000,,32.645000,,-117.117000,,,,,,,,,,,,,
209514,,126069,GPS,07-26-2014 1:14:12,,,12.6,,32.631988,,-117.117317,,,,,,,,,,,,,,,,,
209515,,126069,DIAG,07-26-2014 2:46:48,,B,,,32.658000,,-117.114000,,32.658000,,-117.114000,,,,,,,,,,,,,
209838,,126069,DS,07-26-2014 2:46:48,,B,,,32.658000,,-117.114000,,,,,,,,,,,,,,,,,
209516,,126069,DIAG,07-26-2014 3:39:58,,A,,,32.643000,,-117.122000,,32.643000,,-117.122000,,,,,,,,,,,,,
209839,,126069,DS,07-26-2014 3:39:58,,A,,,32.643000,,-117.122000,,,,,,,,,,,,,,,,,
209517,,126069,DIAG,07-26-2014 4:30:45,,B,,,32.627000,,-117.119000,,32.627000,,-117.119000,,,,,,,,,,,,,
209840,,126069,DS,07-26-2014 4:30:45,,B,,,32.627000,,-117.119000,,,,,,,,,,,,,,,,,
