ID,ArgosID,Message_Type,TransmissionDateTime,EffectiveDate,LC,Residual,IQ,Lat1,Lon1,Lat2,Lon2,NbMes,NbMes120dB,BestLevel,PassDuration,NOPC,CalculFreq,Altitude,,Comment,EditDate,EditUser,RecordCreationDate
291916,052675,DS,03-07-2007 22:21:14,03-07-2007 22:21:14,1,,,32.615000,-117.118000,,,,,,,,401677076,0.000,,,,dlp,05-10-2010
296042,052675,DIAG,03-07-2007 22:21:59,03-07-2007 22:21:59,2,,50,32.620000,-117.114000,24.615000,-153.881000,006,000,-130 dB,629s, ,401 677076.1 Hz,   0 m,,,,dlp,05-10-2010
291917,052675,DS,,03-07-2007 23:04:29,,,,,,,,,,,,,,,,,,dlp,05-10-2010
296043,052675,DIAG,03-07-2007 23:10:08,03-07-2007 23:10:08,Z,,00,,,,,012,000,-124 dB,678s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
293447,052675,GPS,03-07-2007 23:19:00,03-07-2007 23:19:00,,0.1,,32.613740,-117.098584,,,,,,,,,1,,,,,05-10-2010
293448,052675,GPS,03-08-2007 0:19:00,03-08-2007 0:19:00,,8.6,,32.614328,-117.099421,,,,,,,,,-68,,,,,05-10-2010
291918,052675,DS,03-08-2007 0:51:54,03-08-2007 0:51:54,B,,,32.648000,-117.124000,,,,,,,,401677076,0.000,,,,dlp,05-10-2010
296044,052675,DIAG,03-08-2007 0:51:54,03-08-2007 0:51:54,B,,00,32.648000,-117.124000,22.439000,-164.888000,002,000,-129 dB,138s, ,401 677076.1 Hz,   0 m,,,,dlp,05-10-2010
296045,052675,DIAG,03-08-2007 1:01:28,03-08-2007 1:01:28,0,,58,32.618000,-117.083000,31.624000,-121.849000,004,000,-122 dB,457s, ,401 677095.8 Hz,   0 m,,,,dlp,05-10-2010
291919,052675,DS,03-08-2007 1:01:28,03-08-2007 1:01:28,0,,,32.618000,-117.083000,,,,,,,,401677076,0.000,,,,dlp,05-10-2010
296046,052675,DIAG,03-08-2007 2:42:11,03-08-2007 2:42:11,B,,00,32.617000,-117.100000,21.871000,-169.956000,002,000,-130 dB,139s, ,401 677106.9 Hz,   0 m,,,,dlp,05-10-2010
291920,052675,DS,03-08-2007 2:42:11,03-08-2007 2:42:11,B,,,32.617000,-117.100000,,,,,,,,401677107,0.000,,,,dlp,05-10-2010
293449,052675,GPS,03-08-2007 3:20:53,03-08-2007 3:20:53,,13.7,,32.611986,-117.105984,,,,,,,,,-57,,,,,05-10-2010
296047,052675,DIAG,03-08-2007 4:39:34,03-08-2007 4:39:34,A,,08,32.615000,-117.106000,38.194000,-89.179000,003,000,-126 dB,387s, ,401 677106.9 Hz,   0 m,,,,dlp,05-10-2010
291921,052675,DS,03-08-2007 4:39:34,03-08-2007 4:39:34,A,,,32.615000,-117.106000,,,,,,,,401677107,0.000,,,,dlp,05-10-2010
293450,052675,GPS,03-08-2007 5:01:37,03-08-2007 5:01:37,,2.2,,32.612140,-117.107605,,,,,,,,,-73,,,,,05-10-2010
296048,052675,DIAG,03-08-2007 6:17:54,03-08-2007 6:17:54,A,,08,32.585000,-117.168000,28.607000,-136.779000,003,000,-124 dB,199s, ,401 677110.6 Hz,   0 m,,,,dlp,05-10-2010
291922,052675,DS,03-08-2007 6:17:54,03-08-2007 6:17:54,A,,,32.585000,-117.168000,,,,,,,,401677107,0.000,,,,dlp,05-10-2010
293451,052675,GPS,03-08-2007 6:56:32,03-08-2007 6:56:32,,1.8,,32.610174,-117.106428,,,,,,,,,45,,,,,05-10-2010
293452,052675,GPS,03-08-2007 8:03:05,03-08-2007 8:03:05,,8.9,,32.611921,-117.108226,,,,,,,,,-6,,,,,05-10-2010
291923,052675,DS,,03-08-2007 9:11:45,,,,,,,,,,,,,,,,,,dlp,05-10-2010
296049,052675,DIAG,03-08-2007 9:11:45,03-08-2007 9:11:45,Z,,00,,,,,001,000,-129 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
293453,052675,GPS,03-08-2007 9:26:46,03-08-2007 9:26:46,,7,,32.613069,-117.110240,,,,,,,,,6,,,,,05-10-2010
293454,052675,GPS,03-08-2007 10:29:15,03-08-2007 10:29:15,,14.8,,32.613096,-117.110991,,,,,,,,,-99,,,,,05-10-2010
296050,052675,DIAG,03-08-2007 10:46:39,03-08-2007 10:46:39,B,,00,32.610000,-117.138000,38.223000,-144.521000,002,000,-129 dB,164s, ,401 677106.9 Hz,   0 m,,,,dlp,05-10-2010
291924,052675,DS,03-08-2007 10:46:39,03-08-2007 10:46:39,B,,,32.610000,-117.138000,,,,,,,,401677107,0.000,,,,dlp,05-10-2010
291925,052675,DS,03-08-2007 11:37:52,03-08-2007 11:37:52,A,,,32.618000,-117.121000,,,,,,,,401677121,0.000,,,,dlp,05-10-2010
296051,052675,DIAG,03-08-2007 11:37:52,03-08-2007 11:37:52,A,,08,32.618000,-117.121000,30.264000,-106.397000,003,000,-130 dB,657s, ,401 677120.9 Hz,   0 m,,,,dlp,05-10-2010
293455,052675,GPS,03-08-2007 12:14:55,03-08-2007 12:14:55,,1.3,,32.615448,-117.118410,,,,,,,,,-30,,,,,05-10-2010
291927,052675,DS,03-08-2007 13:20:34,03-08-2007 13:20:34,B,,,32.626000,-117.125000,,,,,,,,401677121,0.000,,,,dlp,05-10-2010
291926,052675,DS,03-08-2007 13:20:34,03-08-2007 13:20:34,B,,,32.629000,-117.123000,,,,,,,,401677121,0.000,,,,dlp,05-10-2010
296052,052675,DIAG,03-08-2007 13:20:34,03-08-2007 13:20:34,B,,00,32.601000,-117.099000,31.194000,-110.139000,002,000,-127 dB,188s, ,401 677106.9 Hz,   0 m,,,,dlp,05-10-2010
296053,052675,DIAG,03-08-2007 13:20:34,03-08-2007 13:20:34,B,,00,32.629000,-117.123000,40.437000,-154.781000,002,000,-130 dB,188s, ,401 677120.9 Hz,   0 m,,,,dlp,05-10-2010
296054,052675,DIAG,03-08-2007 14:57:59,03-08-2007 14:57:59,B,,00,32.590000,-117.084000,40.733000,-157.490000,002,000,-128 dB,089s, ,401 677120.9 Hz,   0 m,,,,dlp,05-10-2010
291928,052675,DS,03-08-2007 14:57:59,03-08-2007 14:57:59,B,,,32.590000,-117.084000,,,,,,,,401677121,0.000,,,,dlp,05-10-2010
291929,052675,DS,,03-08-2007 17:06:17,,,,,,,,,,,,,,,,,,dlp,05-10-2010
296055,052675,DIAG,03-08-2007 17:06:17,03-08-2007 17:06:17,Z,,00,,,,,001,000,-136 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
291930,052675,DS,,03-08-2007 22:07:37,,,,,,,,,,,,,,,,,,dlp,05-10-2010
296056,052675,DIAG,03-08-2007 22:07:37,03-08-2007 22:07:37,Z,,00,,,,,001,000,-133 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
296057,052675,DIAG,03-08-2007 22:55:30,03-08-2007 22:55:30,Z,,00,,,,,001,000,-138 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
296058,052675,DIAG,03-08-2007 22:55:30,03-08-2007 22:55:30,Z,,00,,,,,001,000,-130 dB,?  s, ,401 650000.0 Hz,   0 m,,,,dlp,05-10-2010
